GPGGA,153422.000,3411.8812,S,01822.7120,E,1,9,1.27,71.7,M,32.4,M,,,GPVTG,35.44,T,,M,0.00,N,0.00,K,A,PQVEL,-0.082729,-0.054630,0.067713,MAXIQ,22.21,1001.95,94.47,-81.00,9.75
GPGGA,153423.000,3411.8812,S,01822.7120,E,1,9,1.27,71.7,M,32.4,M,,,GPVTG,35.44,T,,M,0.00,N,0.00,K,A,PQVEL,-0.109348,0.117132,0.063838,MAXIQ,22.22,1001.96,94.46,-80.00,9.75
GPGGA,153424.000,3411.8812,S,01822.7120,E,1,9,1.27,71.7,M,32.4,M,,,GPVTG,35.44,T,,M,0.00,N,0.00,K,A,PQVEL,-0.010172,0.103665,0.065125,MAXIQ,22.29,1001.94,94.59,-78.00,10.00
GPGGA,153425.000,3411.8812,S,01822.7120,E,1,9,1.27,71.7,M,32.4,M,,,GPVTG,35.44,T,,M,0.00,N,0.00,K,A,PQVEL,-0.107925,0.088670,0.077480,MAXIQ,22.25,1001.95,94.48,-80.00,10.00
GPGGA,153426.000,3411.8812,S,01822.7120,E,1,9,1.27,71.7,M,32.4,M,,,GPVTG,172.09,T,,M,0.95,N,1.76,K,A,PQVEL,-0.484864,0.067391,0.093041,MAXIQ,22.25,1001.94,94.55,-80.00,10.25
GPGGA,153427.000,3411.8808,S,01822.7117,E,1,9,1.27,70.8,M,32.4,M,,,GPVTG,252.88,T,,M,1.00,N,1.85,K,A,PQVEL,-0.159008,-0.516182,0.055142,MAXIQ,22.27,1001.94,94.62,-79.00,9.00
GPGGA,153428.000,3411.8808,S,01822.7113,E,1,9,1.27,71.5,M,32.4,M,,,GPVTG,304.15,T,,M,1.04,N,1.92,K,A,PQVEL,0.311032,-0.458551,-0.020237,MAXIQ,22.21,1001.95,94.51,-80.00,10.00
GPGGA,153429.000,3411.8808,S,01822.7111,E,1,9,1.27,71.4,M,32.4,M,,,GPVTG,257.82,T,,M,1.32,N,2.44,K,A,PQVEL,-0.143011,-0.662404,0.010694,MAXIQ,22.20,1001.94,94.63,-81.00,12.25
GPGGA,153430.000,3411.8808,S,01822.7110,E,1,9,1.27,71.9,M,32.4,M,,,GPVTG,257.82,T,,M,0.00,N,0.00,K,A,PQVEL,-0.033056,-0.279759,-0.034775,MAXIQ,22.20,1001.90,94.91,-81.00,10.25
GPGGA,153431.000,3411.8805,S,01822.7112,E,1,9,1.27,72.0,M,32.4,M,,,GPVTG,257.82,T,,M,0.00,N,0.00,K,A,PQVEL,0.260045,0.030213,-0.023948,MAXIQ,22.21,1001.94,94.57,-81.00,12.50
GPGGA,153432.000,3411.8803,S,01822.7107,E,1,9,1.27,71.9,M,32.4,M,,,GPVTG,326.71,T,,M,0.78,N,1.45,K,A,PQVEL,0.336066,-0.220643,0.008633,MAXIQ,22.17,1001.96,94.42,-82.00,12.75
GPGGA,153433.000,3411.8803,S,01822.7107,E,1,9,1.27,71.9,M,32.4,M,,,GPVTG,326.71,T,,M,0.00,N,0.00,K,A,PQVEL,0.232492,0.026258,-0.034798,MAXIQ,22.14,1001.91,94.84,-82.00,13.75
GPGGA,153434.000,3411.8803,S,01822.7107,E,1,9,1.27,71.9,M,32.4,M,,,GPVTG,326.71,T,,M,0.00,N,0.00,K,A,PQVEL,0.113063,-0.126184,-0.083682,MAXIQ,22.09,1001.92,94.73,-82.00,13.50
GPGGA,153435.000,3411.8803,S,01822.7107,E,1,9,1.27,71.9,M,32.4,M,,,GPVTG,326.71,T,,M,0.00,N,0.00,K,A,PQVEL,0.056978,0.079696,-0.082148,MAXIQ,22.16,1001.95,94.53,-82.00,14.00
GPGGA,153436.000,3411.8803,S,01822.7107,E,1,9,1.27,71.9,M,32.4,M,,,GPVTG,326.71,T,,M,0.00,N,0.00,K,A,PQVEL,0.001753,0.187062,-0.119827,MAXIQ,22.05,1001.91,94.82,-81.00,12.25
